,not_propaganda,propaganda,accuracy,macro avg,weighted avg
precision,0.7035714285714286,0.6533333333333333,0.6775862068965517,0.678452380952381,0.6794051724137932
recall,0.654485049833887,0.7025089605734767,0.6775862068965517,0.6784970052036818,0.6775862068965517
f1-score,0.6781411359724613,0.6770293609671848,0.6775862068965517,0.677585248469823,0.6776063338578542
support,301.0,279.0,0.6775862068965517,580.0,580.0
